Name,Price,Comment,Shop,Type
美宝莲（MAYBELLINE）绝色持久唇膏纵情耀系列 SPK23 3g（小灯管 烟熏玫瑰色 玻璃唇 绝色持久保湿）,￥116.00,13万+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
欧莱雅（LOREAL）恒放溢彩雾感唇釉口红小蛮腰 正红色 308 6.3ml,￥102.00,3.6万+条评价,欧莱雅京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
京东超市【第二支5元】朵拉朵尚 花漾迷魅口红【适合亚洲女性】(持久保湿滋润唇膏女士唇彩口红非不掉色不沾杯) 07中国浅红(气质派),￥26.90,5.6万+条评价,朵拉朵尚旗舰店,"
京东物流
闪购
免邮
每满50-22 "
迪奥（Dior）烈艳蓝金唇膏-哑光系列999 3.5g（迪奥口红 迪奥999 显色持久 传奇红）,￥400.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
满299-30 "
【专柜正品】Dior迪奥口红女士唇膏 烈艳蓝金080#微笑正红赠礼盒礼袋,￥275.00,28万+条评价,世纪嘉胤个护专营店,"
京东物流
免邮
券599-20 "
全球购【2件7折】露华浓Revlon 丽彩持久保湿滋润唇膏女士经典黑管口红女士不易掉色彩妆美妆化妆品 225#玫瑰红酒,￥52.00,7.9万+条评价,FAVOR全球购专营店,"
2件7.5折 "
全球购汤姆福特 TOM FORD TF口红 经典黑金唇膏 3g #16 SCARLET ROUGE  复古番茄红,￥395.00,1.7万+条评价,全球购个护美妆自营专区,"
自营
闪购
满399-50 "
玛丽黛佳 MARIE DALGAR 套装 唇膏质地玩乐盘1.4g*6 轻雾哑光口红持久保湿唇膏,￥49.90,6.2万+条评价,玛丽黛佳京东自营旗舰店,"
自营
闪购
满199-100赠 "
卡姿兰（Carslan）金致胶原星选唇膏盒（液体唇膏1.5g*6）（唇彩盒 口红 保湿滋润）,￥89.00,5.9万+条评价,卡姿兰京东自营官方旗舰店,"
自营
秒杀
满199-100赠 "
圣罗兰（YSL）纯口红13#（正橘色）,￥310.00,7.6万+条评价,YSL圣罗兰美妆京东自营专区,"
自营
闪购
券500-50满499-150 "
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 丝绒系列58#珊瑚红_枣红色（爆款）,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 "
迪奥（Dior）全新烈艳蓝金唇膏口红520 3.5g(滋润持久保湿 粉红色),￥285.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
满499-100 "
香奈儿（Chanel） 口红 炫亮魅力唇膏 丝绒系列46# 西瓜红（热卖）,￥355.00,4.1万+条评价,优品美妆,"
券699-20 "
美宝莲（MAYBELLINE）纵情耀星钻系列唇膏 SRD55 金鱼花火色 小灯管口红 3g,￥79.00,7700+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满499-150 "
美康粉黛凤舞牡丹丝绒唇釉（红管唇釉 口红 滋润 持久 显色 正红） 红桦,￥39.00,2万+条评价,美康粉黛旗舰店,"
新品
满117-39 "
凡士林(Vaseline)润唇膏 保湿滋润护唇膏 经典原味 17g 保湿滋润唇膜 口红打底,￥32.00,1.4万+条评价,联合利华京东自营旗舰店,"
自营
闪购
"
迪奥（Dior） Dior迪奥口红女士唇膏 烈艳蓝金 烈艳蓝金999+520（爱你久久）,￥428.00,2.7万+条评价,弗艾美妆专营店,"
闪购
券500-60赠 险"
曼秀雷敦 Mentholatum 什果冰变色润唇膏2g 03#琉璃粉红 有色滋润补水保湿唇彩唇釉裸色口红不掉色防干裂,￥27.90,6100+条评价,曼秀雷敦自营官方旗舰店,"
自营
"
兰蔻口红女士唇膏菁纯柔润丝锻口红120#12#124#女神赤茶橘赤茶棕 196#枫叶橘82#134# 菁纯 非凡哑光口红196# 枫叶橘 朱砂橘,￥339.00,4800+条评价,怡然天诚化妆品专营店,"
赠 "
迪奥（Dior）烈艳蓝金唇膏756 3.5g（口红 妆感舒悦 显色持久 红色）,￥285.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
满499-100 "
曼秀雷敦 Mentholatum 什果冰变色润唇膏2g 02#珊瑚粉橘 有色滋润补水保湿唇彩唇釉裸色口红不掉色防干裂,￥27.90,6100+条评价,曼秀雷敦自营官方旗舰店,"
自营
"
ZEESEA 滋色保湿口红是非不掉色不沾杯 唇膏滋润姿色枫叶红唇釉唇彩唇蜜套装 804#豆沙色,￥79.00,5.9万+条评价,ZEESEA旗舰店,"
京东物流
免邮
券168-10满148-73赠 险"
【专柜正品】Dior迪奥口红女士唇膏 烈艳蓝金888#哑光赠礼盒礼袋,￥269.00,28万+条评价,世纪嘉胤个护专营店,"
京东物流
免邮
券599-20 "
美宝莲（MAYBELLINE）绝色持久唇膏纵情耀系列 SNU16 3g（小灯管 奶茶色 玻璃唇 绝色持久保湿）,￥116.00,13万+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
VNK 暗夜之吻口红 301#红棕色 3g （ 保湿 不易脱色 唇膏 滋润）,￥79.00,5100+条评价,VNK京东自营官方旗舰店,"
自营
秒杀
券300-50满199-100 "
京东超市芭黎元素水晶之吻口红不掉色不沾杯润唇膏唇釉唇彩唇蜜女士防水保湿 高贵红02,￥59.00,27万+条评价,芭黎元素姬俪雯专卖店,"
京东物流
免邮
满118-58 险"
圣罗兰（YSL）莹亮纯魅唇膏45#,￥310.00,5.9万+条评价,YSL圣罗兰美妆京东自营专区,"
自营
闪购
券500-50满499-100 "
纪梵希（Givenchy）香榭高定天鹅绒唇膏317(又名：高级定制系列唇彩 小羊皮口红）（暖柿红 橘子红）,￥345.00,5.7万+条评价,纪梵希（Givenchy）京东自营专区,"
自营
闪购
券500-50满499-150 "
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 99#大红色_海盗（热卖）,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
稚优泉 CHIOTURE 柔雾哑光口红5色随心妆（保湿滋润 不易掉色 口红 彩妆）,￥85.00,9900+条评价,稚优泉京东自营旗舰店,"
自营
秒杀
券300-50满199-100 "
